playerID,mlbam_id,yearID,HR,BB,HBP,SO,IPouts,FIP,index_year,ind_diff
adcocna01,502264,2015,3,12,1,13,54,6.02288888888889,2015,0
adcocna01,502264,2014,2,5,2,9,30,6.032,2015,1
anderbr04,474463,2011,8,25,7,61,250,3.961,2011,0
anderbr04,474463,2010,6,22,7,75,337,3.21253115727003,2011,1
arroybr01,276520,2013,32,34,7,124,606,4.48859405940594,2014,1
arroybr01,276520,2014,10,19,3,47,258,4.31804651162791,2014,0
baileho02,456701,2014,16,45,7,124,437,3.92833867276888,2015,1
baileho02,456701,2015,3,4,0,3,34,7.10458823529412,2015,0
barreaa01,502578,2015,1,7,3,35,88,2.21354545454545,2015,0
barreaa01,502578,2014,1,20,1,49,122,2.59101639344262,2015,1
beachbr01,545404,2011,16,46,5,169,425,3.18735294117647,2012,1
beachbr01,545404,2012,6,29,1,68,243,3.49006172839506,2012,0
betanra01,429783,2013,2,11,0,27,86,3.22241860465116,2013,0
betanra01,429783,2012,6,12,0,57,173,3.095,2013,1
billich01,451532,2013,1,5,0,6,36,4.38133333333333,2013,0
billich01,451532,2012,11,45,5,128,449,3.34221603563474,2013,1
carigan01,446398,2012,0,10,0,8,29,4.54327586206897,2012,0
carigan01,446398,2011,1,2,0,5,19,4.44605263157895,2012,1
carraca01,471911,2010,6,14,1,38,134,4.13123880597015,2011,1
carraca01,471911,2011,15,40,4,85,374,4.28435828877005,2011,0
chambjo03,501955,2010,6,22,1,77,215,2.98132558139535,2011,1
chambjo03,501955,2011,3,7,1,24,86,3.54825581395349,2011,0
cisnejo01,542585,2013,5,22,1,41,131,4.23883969465649,2014,1
cisnejo01,542585,2014,0,4,0,5,14,3.56057142857143,2014,0
coffeto01,434298,2011,4,20,1,46,179,3.4104748603352,2012,1
coffeto01,434298,2012,1,9,2,18,58,3.61224137931034,2012,0
drabeky01,475138,2012,10,47,1,47,214,5.61836448598131,2012,0
drabeky01,475138,2011,10,55,1,51,236,5.51652542372881,2012,1
duffyda01,518633,2012,2,18,0,28,83,3.96246987951807,2012,0
duffyda01,518633,2011,15,51,5,87,316,4.81930379746835,2012,1
felizne01,491703,2012,5,23,2,37,128,4.641875,2012,0
felizne01,491703,2011,4,30,0,54,187,3.57045454545455,2012,1
fernajo02,605228,2013,10,58,5,187,518,2.72946718146718,2014,1
fernajo02,605228,2014,4,13,0,70,155,2.18361290322581,2014,0
figuepe01,471896,2013,2,3,0,3,9,12.7146666666667,2014,1
figuepe01,471896,2014,1,3,2,3,27,5.57644444444444,2014,0
floydga01,425856,2013,4,12,0,25,73,4.60964383561644,2013,0
floydga01,425856,2012,22,63,14,144,504,4.45809523809524,2013,1
gutieju01,434641,2011,3,9,1,23,55,4.27954545454545,2011,0
gutieju01,434641,2010,13,23,4,47,170,5.83194117647059,2011,1
hanrajo01,430629,2012,8,36,1,67,179,4.45254189944134,2013,1
hanrajo01,430629,2013,4,6,0,5,22,11.2298181818182,2013,0
harvema01,518774,2012,5,26,3,70,178,3.29724719101124,2013,1
harvema01,518774,2013,7,31,4,191,535,2.00500934579439,2013,0
hefneje01,458550,2012,9,18,2,62,281,3.66083629893238,2013,1
hefneje01,458550,2013,20,37,5,99,392,4.48677551020408,2013,0
herndda01,458589,2012,1,1,0,8,23,3.095,2012,0
herndda01,458589,2011,9,24,2,39,171,5.07763157894737,2012,1
hillri01,448179,2010,0,1,0,3,12,2.329,2011,1
hillri01,448179,2011,0,3,1,12,24,1.525,2011,0
hollagr01,518813,2014,3,20,0,90,187,1.83253475935829,2015,1
hollagr01,518813,2015,2,26,0,49,134,3.26832835820896,2015,0
hudsoda01,543339,2012,9,12,0,37,136,4.83764705882353,2012,0
hudsoda01,543339,2011,17,50,8,169,666,3.28175675675676,2012,1
jonesna01,518858,2013,5,26,1,89,234,2.63774358974359,2014,1
jonesna01,518858,2014,0,3,0,0,0,Inf,2014,0
lackejo01,407793,2011,20,56,19,108,480,4.70625,2011,0
lackejo01,407793,2010,18,72,9,156,645,3.84644186046512,2011,1
luebkco01,458537,2011,12,44,2,154,419,2.92476133651551,2012,1
luebkco01,458537,2012,1,8,0,23,93,2.80467741935484,2012,0
lynnla01,458681,2014,13,72,7,181,611,3.34803927986907,2015,1
lynnla01,458681,2015,13,68,5,167,526,3.44198479087452,2015,0
marquja01,150302,2013,18,68,4,72,353,5.64856657223796,2013,0
marquja01,150302,2012,23,42,4,91,383,11.61034749843,2013,1
matsuda01,493137,2011,4,23,1,26,112,4.95357142857143,2011,0
matsuda01,493137,2010,13,74,8,133,461,4.04863123644252,2011,1
mccarbr01,435221,2014,25,33,3,175,600,7.03645146311646,2015,1
mccarbr01,435221,2015,9,4,0,29,69,6.22095652173913,2015,0
moorema02,519043,2013,14,76,4,143,451,3.95265631929047,2014,1
moorema02,519043,2014,1,5,0,6,30,4.732,2014,0
mortoch02,450203,2012,5,11,2,25,151,4.16784768211921,2012,0
mortoch02,450203,2011,6,77,13,110,515,3.77063106796116,2012,1
novaiv01,467100,2013,9,44,14,116,418,3.47144497607656,2014,1
novaiv01,467100,2014,6,6,2,12,62,6.9061935483871,2014,0
oflaher01,447714,2013,2,5,0,11,54,4.10355555555556,2013,0
oflaher01,447714,2012,3,19,2,46,172,3.26941860465116,2013,1
ottavad01,493603,2014,6,16,4,70,195,3.10123076923077,2015,1
ottavad01,493603,2015,0,2,1,13,31,1.48883870967742,2015,0
parnebo01,458730,2013,1,12,1,44,150,2.328,2014,1
parnebo01,458730,2014,0,1,0,1,3,4.132,2014,0
paulife01,462956,2012,3,15,0,39,113,3.25429203539823,2012,0
paulife01,462956,2011,13,55,8,133,418,8.71310160427807,2012,1
pelfrmi01,460059,2011,21,65,7,105,581,4.46561962134251,2012,1
pelfrmi01,460059,2012,0,4,0,13,59,2.38313559322034,2012,0
penato03,430963,2011,2,10,0,17,61,4.10696721311475,2011,0
penato03,430963,2010,10,45,1,56,302,4.62866887417219,2011,1
perezlu01,469802,2011,9,27,5,54,195,4.64038461538462,2012,1
perezlu01,469802,2012,3,16,3,39,126,3.52357142857143,2012,0
perezma02,527048,2013,15,37,3,84,373,4.23030563002681,2014,1
perezma02,527048,2014,3,19,1,35,154,3.69693506493507,2014,0
reynoma02,519186,2013,2,5,1,23,82,2.97482926829268,2013,0
reynoma02,519186,2012,11,17,0,51,172,4.6996511627907,2013,1
rodrist02,572089,2015,0,3,0,8,31,2.45658064516129,2015,0
rodrist02,572089,2014,1,4,0,14,42,2.91771428571429,2015,1
sadleca02,594987,2015,1,1,0,5,15,4.334,2015,0
sadleca02,594987,2014,0,5,1,7,31,3.51909677419355,2015,1
santose01,435045,2014,5,18,0,29,63,6.0367619047619,2015,1
santose01,435045,2015,3,7,0,18,49,9.87633333333333,2015,0
skaggty01,572140,2014,9,30,4,86,339,3.54792920353982,2014,0
skaggty01,572140,2013,7,15,2,36,116,4.85834482758621,2014,1
tomlijo01,458708,2011,24,21,3,89,496,4.27096774193548,2012,1
tomlijo01,458708,2012,18,25,3,56,310,5.08854838709677,2012,0
vargaja01,450306,2015,5,12,1,27,129,4.29679069767442,2015,0
vargaja01,450306,2014,19,41,6,128,561,3.83788235294118,2015,1
whitlch01,595032,2015,3,5,2,16,58,4.58227586206897,2015,0
whitlch01,595032,2014,10,18,4,60,227,4.13640528634361,2015,1
withrch01,519437,2013,5,13,0,43,104,3.56723076923077,2014,1
withrch01,519437,2014,1,18,1,28,64,3.78825,2014,0
