playerID,mlbam_id,yearID,HR,BB,HBP,SO,IPouts,FIP
arroybr01,276520,2013,32,34,7,124,606,4.48859405940594
arroybr01,276520,2014,10,19,3,47,258,4.31804651162791
arroybr01,276520,2012,26,35,5,129,606,4.08509900990099
baileho02,456701,2015,3,4,0,3,34,7.10458823529412
baileho02,456701,2014,16,45,7,124,437,3.92833867276888
baileho02,456701,2013,20,54,10,199,627,3.30637320574163
beachbr01,545404,2011,16,46,5,169,425,3.18735294117647
beachbr01,545404,2012,6,29,1,68,243,3.49006172839506
beachbr01,545404,2010,0,7,0,15,45,2.479
betanra01,429783,2011,7,8,0,73,187,2.52767379679144
betanra01,429783,2013,2,11,0,27,86,3.22241860465116
betanra01,429783,2012,6,12,0,57,173,3.095
billich01,451532,2012,11,45,5,128,449,3.34221603563474
billich01,451532,2011,14,84,7,152,564,3.8281914893617
billich01,451532,2013,1,5,0,6,36,4.38133333333333
coffeto01,434298,2011,4,20,1,46,179,3.4104748603352
coffeto01,434298,2012,1,9,2,18,58,3.61224137931034
coffeto01,434298,2010,8,23,3,56,187,4.20199465240642
drabeky01,475138,2012,10,47,1,47,214,5.61836448598131
drabeky01,475138,2011,10,55,1,51,236,5.51652542372881
drabeky01,475138,2010,2,5,0,12,51,4.079
felizne01,491703,2010,5,18,5,71,208,2.96361538461538
felizne01,491703,2012,5,23,2,37,128,4.641875
felizne01,491703,2011,4,30,0,54,187,3.57045454545455
figuepe01,471896,2014,1,3,2,3,27,5.57644444444444
figuepe01,471896,2013,2,3,0,3,9,12.7146666666667
figuepe01,471896,2012,2,15,0,14,65,5.07961538461538
floydga01,425856,2012,22,63,14,144,504,4.45809523809524
floydga01,425856,2011,22,45,11,151,581,3.80985370051635
floydga01,425856,2013,4,12,0,25,73,4.60964383561644
hanrajo01,430629,2013,4,6,0,5,22,11.2298181818182
hanrajo01,430629,2012,8,36,1,67,179,4.45254189944134
hanrajo01,430629,2011,1,16,1,61,206,2.18033980582524
herndda01,458589,2012,1,1,0,8,23,3.095
herndda01,458589,2010,2,17,2,29,157,3.55670700636943
herndda01,458589,2011,9,24,2,39,171,5.07763157894737
hollagr01,518813,2013,3,18,0,103,201,1.3614328358209
hollagr01,518813,2015,2,26,0,49,134,3.26832835820896
hollagr01,518813,2014,3,20,0,90,187,1.83253475935829
hudsoda01,543339,2011,17,50,8,169,666,3.28175675675676
hudsoda01,543339,2012,9,12,0,37,136,4.83764705882353
hudsoda01,543339,2010,1,11,0,14,47,4.22793617021277
hudsoda01,543339,2010,7,16,4,70,239,3.21707531380753
jonesna01,518858,2012,4,32,1,65,215,3.38802325581395
jonesna01,518858,2014,0,3,0,0,0,Inf
jonesna01,518858,2013,5,26,1,89,234,2.63774358974359
luebkco01,458537,2011,12,44,2,154,419,2.92476133651551
luebkco01,458537,2010,3,6,1,18,53,4.43749056603774
luebkco01,458537,2012,1,8,0,23,93,2.80467741935484
lynnla01,458681,2015,13,68,5,167,526,3.44198479087452
lynnla01,458681,2014,13,72,7,181,611,3.34803927986907
lynnla01,458681,2013,14,76,11,198,605,3.28105785123967
marquja01,150302,2013,18,68,4,72,353,5.64856657223796
marquja01,150302,2011,8,39,4,71,362,3.77914364640884
marquja01,150302,2011,3,4,1,5,34,6.90735294117647
marquja01,150302,2012,14,28,1,79,281,4.28005338078292
marquja01,150302,2012,9,14,3,12,102,7.33029411764706
mccarbr01,435221,2015,9,4,0,29,69,6.22095652173913
mccarbr01,435221,2014,10,13,1,82,271,3.22056088560886
mccarbr01,435221,2013,13,21,5,76,405,3.7517037037037
mccarbr01,435221,2014,15,20,2,93,329,3.8158905775076
moorema02,519043,2012,18,81,7,175,532,3.92958646616541
moorema02,519043,2014,1,5,0,6,30,4.732
moorema02,519043,2013,14,76,4,143,451,3.95265631929047
mortoch02,450203,2011,6,77,13,110,515,3.77063106796116
mortoch02,450203,2010,15,26,7,59,239,5.2882050209205
mortoch02,450203,2012,5,11,2,25,151,4.16784768211921
novaiv01,467100,2012,28,56,10,153,511,4.59793542074364
novaiv01,467100,2014,6,6,2,12,62,6.9061935483871
novaiv01,467100,2013,9,44,14,116,418,3.47144497607656
oflaher01,447714,2013,2,5,0,11,54,4.10355555555556
oflaher01,447714,2012,3,19,2,46,172,3.26941860465116
oflaher01,447714,2011,2,21,3,67,221,2.53631221719457
ottavad01,493603,2013,5,31,2,78,235,3.15012765957447
ottavad01,493603,2015,0,2,1,13,31,1.48883870967742
ottavad01,493603,2014,6,16,4,70,195,3.10123076923077
parnebo01,458730,2013,1,12,1,44,150,2.328
parnebo01,458730,2014,0,1,0,1,3,4.132
parnebo01,458730,2012,4,20,1,61,206,2.99305825242718
paulife01,462956,2012,3,15,0,39,113,3.25429203539823
paulife01,462956,2011,10,48,8,119,374,3.50628342245989
paulife01,462956,2010,4,46,3,83,275,3.439
paulife01,462956,2011,3,7,0,14,44,5.20681818181818
pelfrmi01,460059,2012,0,4,0,13,59,2.38313559322034
pelfrmi01,460059,2010,12,68,6,113,612,3.82409803921569
pelfrmi01,460059,2011,21,65,7,105,581,4.46561962134251
perezma02,527048,2013,15,37,3,84,373,4.23030563002681
